land_use_code,land_use,to_carb,precipitation_level,kpi,Whole_repsiration,ch4_kg_ha_yr,TopN2O,soil_type
15,Mixed fruits and vegetables,0.093093994826154,37.0,10754.075844435682,1.0977518488663782,0.0020234722784297,1.1497323882967314,G
15,Mixed fruits and vegetables,0.0997542320340714,37.0,1727.2871534716676,1.1100626148547066,0.0020234722784297,0.3657553180045674,Y
15,Mixed fruits and vegetables,-0.0614642424249873,37.0,19760.2125892383,1.1971398493254233,0.0020234722784297,1.6159670846865777,T
15,Mixed fruits and vegetables,0.0881105591619059,37.0,8010.094623532839,1.1596747053042675,0.0020234722784297,0.8964485650724374,Q
15,Mixed fruits and vegetables,0.0899911483341678,45.1,7941.72777044491,1.1732651803311862,0.0020234722784297,0.8944201602998881,M
15,Mixed fruits and vegetables,0.1115304268181203,45.1,5156.3052225834135,1.1120193077588545,0.0020234722784297,0.6941251893947745,A
15,Mixed fruits and vegetables,-0.2513428361289625,45.1,27994.79307220206,1.3057511056021118,0.0020234722784297,1.9385308364119676,O
15,Mixed fruits and vegetables,-0.1153664424753669,45.1,19233.04803505676,1.2872705972154552,0.0020234722784297,1.4542153064613583,C
15,Mixed fruits and vegetables,8.993333333333334e-13,45.1,0.6589333333333334,4.046944556859572e-14,0.0020234722784297,4.047e-11,N
15,Mixed fruits and vegetables,0.0941084262451579,45.1,-1342.8352492111237,0.6383367236073061,0.0020234722784297,0.0822140889339155,B
15,Mixed fruits and vegetables,-0.1597280565710693,45.1,31692.663497934256,1.3414508352947312,0.0020234722784297,2.461208927312814,L
15,Mixed fruits and vegetables,-0.0025640547266196,45.1,7006.0055888977495,1.1307384732159742,0.0020234722784297,0.6139772874503127,K
15,Mixed fruits and vegetables,0.1448378335503688,45.1,514.0131667784642,1.0581588724659556,0.0020234722784297,0.3547719199640097,D
15,Mixed fruits and vegetables,0.0989395695010279,45.1,10848.39490163403,1.113084658620382,0.0020234722784297,1.1705589659374438,G
15,Mixed fruits and vegetables,0.0980756494009152,45.1,1700.873010582853,1.116555432126131,0.0020234722784297,0.359834118713734,Y
15,Mixed fruits and vegetables,-0.0657742352948551,45.1,24514.189875140888,1.2266461050026252,0.0020234722784297,2.0271355976536367,T
15,Mixed fruits and vegetables,0.0899911483341678,45.1,7941.72777044491,1.1732651803311862,0.0020234722784297,0.8944201602998881,Q
11,Conservation forest,1.4840349,24.58,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,M
11,Conservation forest,1.4840349,24.58,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,C
11,Conservation forest,1.4840349,24.58,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,T
11,Conservation forest,1.4840349,24.58,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,O
11,Conservation forest,1.4840349,24.58,-12218.597514293742,4.046944556859572e-14,4.046944556859572e-14,0.08094,Y
11,Conservation forest,1.4840349,24.58,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,G
11,Conservation forest,1.4840349,24.58,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,Q
11,Conservation forest,1.4840349,24.58,-12218.583815056045,4.046944556859572e-14,4.046944556859572e-14,0.08094,B
11,Conservation forest,1.4840349,24.58,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,K
11,Conservation forest,1.4840349,24.58,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,D
11,Conservation forest,1.4840349,24.58,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,N
11,Conservation forest,1.4840349,24.58,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,A
11,Conservation forest,1.4840349,24.58,-12218.597514293742,4.046944556859572e-14,4.046944556859572e-14,0.08094,L
11,Conservation forest,1.4840349,28.18,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,M
11,Conservation forest,1.4840349,28.18,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,C
11,Conservation forest,1.4840349,28.18,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,T
11,Conservation forest,1.4840349,28.18,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,O
11,Conservation forest,1.4840349,28.18,-12218.597514293742,4.046944556859572e-14,4.046944556859572e-14,0.08094,Y
11,Conservation forest,1.4840349,28.18,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,G
11,Conservation forest,1.4840349,28.18,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,Q
11,Conservation forest,1.4840349,28.18,-12218.583815056045,4.046944556859572e-14,4.046944556859572e-14,0.08094,B
11,Conservation forest,1.4840349,28.18,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,K
11,Conservation forest,1.4840349,28.18,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,D
11,Conservation forest,1.4840349,28.18,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,N
11,Conservation forest,1.4840349,28.18,-12218.60385019118,4.046944556859572e-14,4.046944556859572e-14,0.08094,A
11,Conservation forest,1.4840349,28.18,-12218.597514293742,4.046944556859572e-14,4.046944556859572e-14,0.08094,L
